[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,Pd with one Torlon
FILEOPENTIME,3720425186.1401,11/21/2017,11:27 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,Pd,SAMPLE_MATERIAL
INFO,Using only *one* torlon,SAMPLE_COMMENT
INFO,3.9,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,57.92,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3720427675.444,219.867149353027,10000.087890625,,,6,,,,39.5202544263619,,,1,,,,,,,,,,,,,,,,,,,,,,219.8466796875,219.909225463867,10000.087890625,10000.087890625,,,6.74718141555786,-99999999,1,0,0,0,0,30.7917900085449,1,1,1,219.853820800781,0,219.879162597656,,,-9.18061822678164E-5,5.19182246038791E-6,-9.43008419339141E-5,5.19746696807416E-6,0.528638362884521,0.574420928955078,40.3116912841797,0.214088320732117,30,4,200,0.000431183696491644,-0.787263095378876,-0.168838411569595,1,,,,,,,,,,,,,,,,
,3720427909.18651,211.865348815918,10000.087890625,,,6,,,,39.4847700662975,,,1,,,,,,,,,,,,,,,,,,,,,,211.842025756836,211.904342651367,10000.087890625,10000.087890625,,,6.71596479415894,-99999999,1,0,0,0,0,30.3030319213867,1,1,1,211.845947265625,0,211.877755059136,,,-8.99869669315944E-5,5.17061736029309E-6,-9.3224359599948E-5,5.17785643431837E-6,0.503451406955719,0.559962570667267,40.391429901123,0.217555299401283,30,4,200,-0.000429761625127867,-0.802120506763458,-0.183753728866577,1,,,,,,,,,,,,,,,,
,3720428138.65064,203.864814758301,10000.087890625,,,6,,,,39.4441528956585,,,1,,,,,,,,,,,,,,,,,,,,,,203.834701538086,203.908065795898,10000.087890625,10000.087890625,,,6.6836314201355,-99999999,1,0,0,0,0,31.2805480957031,1,1,1,203.839141845703,0,203.875549316406,,,-8.81731195275986E-5,5.16254401993781E-6,-9.23202077168245E-5,5.17185732883684E-6,0.476202756166458,0.544629395008087,40.4749145507812,0.221691533923149,30,4,200,-0.000324419583193958,-0.814322292804718,-0.193717643618584,1,,,,,,,,,,,,,,,,
,3720428360.41157,195.876937866211,10000.087890625,,,6,,,,39.4079136258502,,,1,,,,,,,,,,,,,,,,,,,,,,195.847457885742,195.915664672852,10000.087890625,10000.087890625,,,6.64983177185059,-99999999,1,0,0,0,0,31.2805480957031,1,1,1,195.861145019531,0,195.884406195747,,,-8.63051534552948E-5,5.15209860466782E-6,-9.14299109352532E-5,5.16370128317654E-6,0.450489193201065,0.530831396579742,40.558666229248,0.226055398583412,30,4,200,0.000242007692577317,-0.826304733753204,-0.206079214811325,1,,,,,,,,,,,,,,,,
,3720428582.43698,187.880195617676,10000.087890625,,,6,,,,39.3723901129307,,,1,,,,,,,,,,,,,,,,,,,,,,187.859268188477,187.921966552734,10000.087890625,10000.087890625,,,6.61540603637695,-99999999,1,0,0,0,0,30.7917900085449,1,1,1,187.8671875,0,187.890930175781,,,-8.42983592649828E-5,5.15427000970808E-6,-9.0583975977044E-5,5.16847983897761E-6,0.421547114849091,0.514305949211121,40.6527519226074,0.231539323925972,30,4,200,1.63564836839214E-5,-0.836997449398041,-0.215710446238518,1,,,,,,,,,,,,,,,,
,3720428796.3959,179.87638092041,10000.087890625,,,6,,,,39.3365191144918,,,1,,,,,,,,,,,,,,,,,,,,,,179.8466796875,179.910354614258,10000.087890625,10000.087890625,,,6.58342456817627,-99999999,1,0,0,0,0,31.2805480957031,1,1,1,179.860824584961,0,179.881727430556,,,-8.23925853742885E-5,5.1718104701138E-6,-9.00174806641214E-5,5.18933222517066E-6,0.392828375101089,0.498524576425552,40.7513847351074,0.237764671444893,30,4,200,5.55167534912471E-5,-0.852402687072754,-0.228903397917747,1,,,,,,,,,,,,,,,,
,3720429010.59323,171.882751464844,10000.087890625,,,6,,,,39.3055497828694,,,1,,,,,,,,,,,,,,,,,,,,,,171.85514831543,171.918975830078,10000.087890625,10000.087890625,,,6.55065393447876,-99999999,1,0,0,0,0,30.7917900085449,1,1,1,171.876113891602,0,171.890897962782,,,-8.04424312191334E-5,5.19048074659535E-6,-8.9447590105572E-5,5.21142798041297E-6,0.365561544895172,0.483106017112732,40.8478546142578,0.244389623403549,30,4,200,-0.000153695917106234,-0.863727152347565,-0.236255645751953,1,,,,,,,,,,,,,,,,
,3720429218.74378,163.883018493652,10000.087890625,,,6,,,,39.2701061658546,,,1,,,,,,,,,,,,,,,,,,,,,,163.859466552734,163.911178588867,10000.087890625,10000.087890625,,,6.51863098144531,-99999999,1,0,0,0,0,30.7917900085449,1,1,1,163.879730224609,0,163.885157775879,,,-7.85053519339131E-5,5.22149524291963E-6,-8.90708481321168E-5,5.2463256159269E-6,0.338425248861313,0.468046486377716,40.9449844360352,0.251983076334,30,4,200,0.000161391857545823,-0.873019158840179,-0.244585528969765,1,,,,,,,,,,,,,,,,
,3720429434.1384,155.890480041504,10000.087890625,,,6,,,,39.2395840584108,,,1,,,,,,,,,,,,,,,,,,,,,,155.870971679687,155.920455932617,10000.087890625,10000.087890625,,,6.48337459564209,-99999999,1,0,0,0,0,30.7917900085449,1,1,1,155.885604858398,0,155.896814982096,,,-7.6701683723335E-5,5.25862368318861E-6,-8.88600704928935E-5,5.28750081368292E-6,0.313868761062622,0.454623639583588,41.0400848388672,0.259756088256836,30,4,200,-0.000250397773925215,-0.881299614906311,-0.247345179319382,1,,,,,,,,,,,,,,,,
,3720429637.65788,147.888122558594,10000.087890625,,,6,,,,39.2089027158902,,,1,,,,,,,,,,,,,,,,,,,,,,147.865707397461,147.914978027344,10000.087890625,10000.087890625,,,6.44669008255005,-99999999,1,0,0,0,0,30.7917900085449,1,1,1,147.881958007813,0,147.892150878906,,,-7.48666846506644E-5,5.30860916424417E-6,-8.88398772744888E-5,5.342174551539E-6,0.289193749427795,0.441381275653839,41.1412200927734,0.268720209598541,30,4,200,-0.000132422457681969,-0.890562534332275,-0.252195119857788,1,,,,,,,,,,,,,,,,
