[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,Pd with one Torlon [Background Data]
FILEOPENTIME,3720439357.30168,11/21/2017,3:23 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,Torlon,SAMPLE_MATERIAL
INFO,Background data: One Torlon offcentered, used in Pd with one Torlon,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,57.92,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3720441848.41193,219.874122619629,10000.1865234375,,,6,,,,39.2622816621606,,,1,,,,,,,,,,,,,,,,,,,,,,219.85530090332,219.913833618164,10000.1865234375,10000.1865234375,,,6.3273024559021,-99999999,1,0,0,0,0,30.7917900085449,1,1,1,219.858215332031,0,219.888702392578,,,-0.000211392290758494,1.37988465978625E-5,-0.0002797381216718,1.39583595291476E-5,0.35486713051796,0.96998530626297,36.6518974304199,0.247525632381439,30,4,200,-0.00041604321449995,-0.165923684835434,1.20649921894073,1,,,,,,,,,,,,,,,,
,3720442080.12936,211.873138427734,10000.1865234375,,,6,,,,39.2265003071057,,,1,,,,,,,,,,,,,,,,,,,,,,211.848861694336,211.913726806641,10000.1865234375,10000.1865234375,,,6.2967414855957,-99999999,1,0,0,0,0,30.7917900085449,1,1,1,211.853256225586,0,211.884848700629,,,-0.000210619420864787,1.378963916974E-5,-0.000279588402299864,1.39507059436055E-5,0.352170258760452,0.97042328119278,36.6026725769043,0.248257994651794,30,4,200,-0.000799793167971075,-0.182652816176414,1.18700230121613,1,,,,,,,,,,,,,,,,
,3720442320.38214,203.874755859375,10000.1865234375,,,6,,,,39.1856456143807,,,1,,,,,,,,,,,,,,,,,,,,,,203.846145629883,203.913803100586,10000.1865234375,10000.1865234375,,,6.26289987564087,-99999999,1,0,0,0,0.013885498046875,30.7917900085449,1,1,1,203.856033325195,0,203.885230170356,,,-0.000210241423597276,1.37800456014621E-5,-0.000279403064522594,1.39412761720736E-5,0.351186126470566,0.970857322216034,36.5565223693848,0.248541221022606,30,4,200,-0.00066732446430251,-0.196075990796089,1.17437875270844,1,,,,,,,,,,,,,,,,
,3720442544.36545,195.881881713867,10000.1865234375,,,6,,,,39.1498263898778,,,1,,,,,,,,,,,,,,,,,,,,,,195.857803344727,195.923904418945,10000.1865234375,10000.1865234375,,,6.22987222671509,-99999999,1,0,0,0,0.013885498046875,30.7917900085449,1,1,1,195.86328125,0,195.89582824707,,,-0.000209587439471651,1.37647812799123E-5,-0.000279117749153779,1.3927191860397E-5,0.349400967359543,0.970489025115967,36.5124816894531,0.249039843678474,30,4,200,-0.000705702346749604,-0.207138329744339,1.16157388687134,1,,,,,,,,,,,,,,,,
,3720442766.55484,187.886604309082,10000.1865234375,,,6,,,,39.1136010593608,,,1,,,,,,,,,,,,,,,,,,,,,,187.86311340332,187.92546081543,10000.1865234375,10000.1865234375,,,6.19666242599487,-99999999,1,0,0,0,0.013885498046875,30.3030319213867,1,1,1,187.876907348633,0,187.896665785048,,,-0.000208955538504961,1.37524319428432E-5,-0.000278907550554449,1.39164991395443E-5,0.347526758909225,0.970994174480438,36.4666061401367,0.249584749341011,30,4,200,-0.000495209649670869,-0.221583783626556,1.14768779277802,1,,,,,,,,,,,,,,,,
,3720442983.45817,179.891136169434,10000.1865234375,,,6,,,,39.0782848735385,,,1,,,,,,,,,,,,,,,,,,,,,,179.866577148438,179.921966552734,10000.1865234375,10000.1865234375,,,6.16668224334717,-99999999,1,0,0,0,0.0138092041015625,30.7917900085449,1,1,1,179.880966186523,0,179.894667053223,,,-0.000208088299087058,1.37242129241082E-5,-0.000278335368523085,1.3887992960238E-5,0.345680862665176,0.970897793769836,36.4224395751953,0.250096678733826,30,4,200,-0.000680535158608109,-0.230477914214134,1.13545143604279,1,,,,,,,,,,,,,,,,
,3720443198.08543,171.894493103027,10000.1865234375,,,6,,,,39.0475540818245,,,1,,,,,,,,,,,,,,,,,,,,,,171.861358642578,171.922378540039,10000.1865234375,10000.1865234375,,,6.13651895523071,-99999999,1,0,0,0,0,30.7917900085449,1,1,1,171.891128540039,0,171.893102010091,,,-0.000207296736782687,1.37088022010233E-5,-0.000278045687391751,1.38736273363766E-5,0.343342185020447,0.970674514770508,36.3804359436035,0.250773996114731,30,4,200,-0.000204655691049993,-0.239506617188454,1.12527275085449,1,,,,,,,,,,,,,,,,
,3720443416.41959,163.888877868652,10000.1865234375,,,6,,,,39.0118977885863,,,1,,,,,,,,,,,,,,,,,,,,,,163.863540649414,163.919784545898,10000.1865234375,10000.1865234375,,,6.1056170463562,-99999999,1,0,0,0,0.013885498046875,30.7917900085449,1,1,1,163.880874633789,0,163.89394124349,,,-0.000206763992530952,1.36938247238452E-5,-0.000277779382489445,1.38604424530333E-5,0.342062950134277,0.970411002635956,36.3388481140137,0.251151204109192,30,4,200,-0.00045178976142779,-0.244157269597054,1.11909866333008,1,,,,,,,,,,,,,,,,
,3720443625.40161,155.896667480469,10000.1865234375,,,6,,,,38.981561623568,,,1,,,,,,,,,,,,,,,,,,,,,,155.874847412109,155.924072265625,10000.1865234375,10000.1865234375,,,6.07476806640625,-99999999,1,0,0,0,0.013885498046875,30.7917900085449,1,1,1,155.89372253418,0,155.900156656901,,,-0.00020584213440886,1.36676669989209E-5,-0.00027728743006997,1.38358832935874E-5,0.339868694543839,0.970442473888397,36.2976226806641,0.251804828643799,30,4,200,-0.000519556633662432,-0.24569196999073,1.1140011548996,1,,,,,,,,,,,,,,,,
,3720443818.71833,147.880760192871,10000.1865234375,,,6,,,,38.9510216217691,,,1,,,,,,,,,,,,,,,,,,,,,,147.859130859375,147.912124633789,10000.1865234375,10000.1865234375,,,6.04258584976196,-99999999,1,0,0,0,0.0139617919921875,30.7917900085449,1,1,1,147.875900268555,0,147.886706882053,,,-0.00020503070961947,1.36446760723353E-5,-0.000276833190132646,1.3813367595881E-5,0.337938845157623,0.970074892044067,36.2579879760742,0.252371519804001,30,4,200,-0.000270397576969117,-0.246247634291649,1.11154842376709,1,,,,,,,,,,,,,,,,
